shape,background_color,shape_color,size,rotation,path
heptagon,black,"(127, 255, 127)",175,240,"images/heptagons/heptagon_bg-black_color-(127, 255, 127)_size-175_angle-240.png"
heptagon,black,"(127, 0, 255)",100,0,"images/heptagons/heptagon_bg-black_color-(127, 0, 255)_size-100_angle-0.png"
pentagon,white,"(127, 255, 127)",140,60,"images/pentagons/pentagon_bg-white_color-(127, 255, 127)_size-140_angle-60.png"
hexagon,blue,"(255, 255, 0)",140,20,"images/hexagons/hexagon_bg-blue_color-(255, 255, 0)_size-140_angle-20.png"
triangle,blue,"(0, 127, 127)",120,110,"images/triangles/triangle_bg-blue_color-(0, 127, 127)_size-120_angle-110.png"
heptagon,blue,"(127, 127, 0)",175,50,"images/heptagons/heptagon_bg-blue_color-(127, 127, 0)_size-175_angle-50.png"
heptagon,white,"(0, 0, 255)",120,330,"images/heptagons/heptagon_bg-white_color-(0, 0, 255)_size-120_angle-330.png"
pentagon,white,"(255, 255, 0)",130,240,"images/pentagons/pentagon_bg-white_color-(255, 255, 0)_size-130_angle-240.png"
pentagon,blue,"(255, 0, 127)",100,30,"images/pentagons/pentagon_bg-blue_color-(255, 0, 127)_size-100_angle-30.png"
heptagon,red,"(127, 127, 255)",140,260,"images/heptagons/heptagon_bg-red_color-(127, 127, 255)_size-140_angle-260.png"
heptagon,black,"(0, 127, 0)",120,90,"images/heptagons/heptagon_bg-black_color-(0, 127, 0)_size-120_angle-90.png"
hexagon,white,"(127, 127, 0)",130,50,"images/hexagons/hexagon_bg-white_color-(127, 127, 0)_size-130_angle-50.png"
pentagon,black,"(0, 127, 127)",150,20,"images/pentagons/pentagon_bg-black_color-(0, 127, 127)_size-150_angle-20.png"
heptagon,white,"(127, 255, 0)",150,240,"images/heptagons/heptagon_bg-white_color-(127, 255, 0)_size-150_angle-240.png"
heptagon,blue,"(127, 255, 127)",130,340,"images/heptagons/heptagon_bg-blue_color-(127, 255, 127)_size-130_angle-340.png"
triangle,white,"(255, 0, 0)",175,90,"images/triangles/triangle_bg-white_color-(255, 0, 0)_size-175_angle-90.png"
triangle,red,"(0, 127, 255)",100,50,"images/triangles/triangle_bg-red_color-(0, 127, 255)_size-100_angle-50.png"
heptagon,red,"(0, 127, 255)",140,110,"images/heptagons/heptagon_bg-red_color-(0, 127, 255)_size-140_angle-110.png"
heptagon,black,"(127, 0, 127)",120,260,"images/heptagons/heptagon_bg-black_color-(127, 0, 127)_size-120_angle-260.png"
octagon,black,"(255, 127, 0)",140,50,"images/octagons/octagon_bg-black_color-(255, 127, 0)_size-140_angle-50.png"
pentagon,black,"(255, 0, 255)",100,170,"images/pentagons/pentagon_bg-black_color-(255, 0, 255)_size-100_angle-170.png"
heptagon,black,"(0, 0, 255)",130,270,"images/heptagons/heptagon_bg-black_color-(0, 0, 255)_size-130_angle-270.png"
pentagon,blue,"(255, 0, 255)",160,50,"images/pentagons/pentagon_bg-blue_color-(255, 0, 255)_size-160_angle-50.png"
heptagon,black,"(255, 0, 127)",140,260,"images/heptagons/heptagon_bg-black_color-(255, 0, 127)_size-140_angle-260.png"
pentagon,red,"(127, 255, 127)",100,90,"images/pentagons/pentagon_bg-red_color-(127, 255, 127)_size-100_angle-90.png"
octagon,red,"(0, 127, 0)",130,0,"images/octagons/octagon_bg-red_color-(0, 127, 0)_size-130_angle-0.png"
octagon,white,"(0, 127, 255)",130,60,"images/octagons/octagon_bg-white_color-(0, 127, 255)_size-130_angle-60.png"
heptagon,blue,"(127, 127, 255)",130,170,"images/heptagons/heptagon_bg-blue_color-(127, 127, 255)_size-130_angle-170.png"
heptagon,white,"(0, 0, 255)",100,270,"images/heptagons/heptagon_bg-white_color-(0, 0, 255)_size-100_angle-270.png"
square,black,"(255, 255, 0)",100,60,"images/squares/square_bg-black_color-(255, 255, 0)_size-100_angle-60.png"
pentagon,red,"(0, 255, 255)",175,140,"images/pentagons/pentagon_bg-red_color-(0, 255, 255)_size-175_angle-140.png"
pentagon,blue,"(127, 255, 0)",130,0,"images/pentagons/pentagon_bg-blue_color-(127, 255, 0)_size-130_angle-0.png"
heptagon,red,"(0, 127, 127)",200,120,"images/heptagons/heptagon_bg-red_color-(0, 127, 127)_size-200_angle-120.png"
heptagon,blue,"(127, 255, 0)",140,230,"images/heptagons/heptagon_bg-blue_color-(127, 255, 0)_size-140_angle-230.png"
heptagon,black,"(255, 0, 255)",150,40,"images/heptagons/heptagon_bg-black_color-(255, 0, 255)_size-150_angle-40.png"
heptagon,white,"(127, 255, 0)",200,50,"images/heptagons/heptagon_bg-white_color-(127, 255, 0)_size-200_angle-50.png"
heptagon,white,"(0, 255, 255)",100,70,"images/heptagons/heptagon_bg-white_color-(0, 255, 255)_size-100_angle-70.png"
heptagon,white,"(127, 0, 127)",160,320,"images/heptagons/heptagon_bg-white_color-(127, 0, 127)_size-160_angle-320.png"
square,white,"(127, 255, 0)",120,40,"images/squares/square_bg-white_color-(127, 255, 0)_size-120_angle-40.png"
square,black,"(0, 255, 255)",200,80,"images/squares/square_bg-black_color-(0, 255, 255)_size-200_angle-80.png"
heptagon,blue,"(127, 127, 255)",120,190,"images/heptagons/heptagon_bg-blue_color-(127, 127, 255)_size-120_angle-190.png"
pentagon,white,"(0, 127, 0)",110,200,"images/pentagons/pentagon_bg-white_color-(0, 127, 0)_size-110_angle-200.png"
heptagon,black,"(127, 0, 127)",100,50,"images/heptagons/heptagon_bg-black_color-(127, 0, 127)_size-100_angle-50.png"
pentagon,blue,"(0, 255, 255)",130,20,"images/pentagons/pentagon_bg-blue_color-(0, 255, 255)_size-130_angle-20.png"
pentagon,black,"(0, 255, 0)",130,200,"images/pentagons/pentagon_bg-black_color-(0, 255, 0)_size-130_angle-200.png"
pentagon,white,"(127, 255, 0)",200,300,"images/pentagons/pentagon_bg-white_color-(127, 255, 0)_size-200_angle-300.png"
square,black,"(127, 127, 0)",175,80,"images/squares/square_bg-black_color-(127, 127, 0)_size-175_angle-80.png"
heptagon,white,"(255, 0, 255)",175,130,"images/heptagons/heptagon_bg-white_color-(255, 0, 255)_size-175_angle-130.png"
heptagon,red,"(127, 0, 127)",175,230,"images/heptagons/heptagon_bg-red_color-(127, 0, 127)_size-175_angle-230.png"
square,white,"(255, 127, 0)",150,0,"images/squares/square_bg-white_color-(255, 127, 0)_size-150_angle-0.png"
hexagon,white,"(0, 0, 255)",200,20,"images/hexagons/hexagon_bg-white_color-(0, 0, 255)_size-200_angle-20.png"
pentagon,blue,"(127, 0, 127)",150,230,"images/pentagons/pentagon_bg-blue_color-(127, 0, 127)_size-150_angle-230.png"
pentagon,white,"(255, 0, 127)",110,280,"images/pentagons/pentagon_bg-white_color-(255, 0, 127)_size-110_angle-280.png"
pentagon,black,"(0, 255, 255)",130,180,"images/pentagons/pentagon_bg-black_color-(0, 255, 255)_size-130_angle-180.png"
triangle,white,"(127, 127, 0)",150,40,"images/triangles/triangle_bg-white_color-(127, 127, 0)_size-150_angle-40.png"
pentagon,blue,"(0, 127, 127)",140,240,"images/pentagons/pentagon_bg-blue_color-(0, 127, 127)_size-140_angle-240.png"
heptagon,blue,"(127, 255, 127)",140,130,"images/heptagons/heptagon_bg-blue_color-(127, 255, 127)_size-140_angle-130.png"
heptagon,white,"(0, 127, 255)",160,310,"images/heptagons/heptagon_bg-white_color-(0, 127, 255)_size-160_angle-310.png"
heptagon,red,"(0, 0, 255)",150,300,"images/heptagons/heptagon_bg-red_color-(0, 0, 255)_size-150_angle-300.png"
heptagon,red,"(255, 127, 0)",175,220,"images/heptagons/heptagon_bg-red_color-(255, 127, 0)_size-175_angle-220.png"
triangle,blue,"(0, 255, 255)",130,0,"images/triangles/triangle_bg-blue_color-(0, 255, 255)_size-130_angle-0.png"
pentagon,red,"(0, 127, 0)",120,140,"images/pentagons/pentagon_bg-red_color-(0, 127, 0)_size-120_angle-140.png"
heptagon,red,"(255, 255, 0)",120,70,"images/heptagons/heptagon_bg-red_color-(255, 255, 0)_size-120_angle-70.png"
octagon,red,"(127, 0, 127)",100,60,"images/octagons/octagon_bg-red_color-(127, 0, 127)_size-100_angle-60.png"
pentagon,black,"(255, 0, 0)",200,300,"images/pentagons/pentagon_bg-black_color-(255, 0, 0)_size-200_angle-300.png"
octagon,blue,"(127, 127, 0)",175,20,"images/octagons/octagon_bg-blue_color-(127, 127, 0)_size-175_angle-20.png"
pentagon,red,"(0, 127, 0)",110,250,"images/pentagons/pentagon_bg-red_color-(0, 127, 0)_size-110_angle-250.png"
pentagon,black,"(255, 0, 255)",175,300,"images/pentagons/pentagon_bg-black_color-(255, 0, 255)_size-175_angle-300.png"
pentagon,blue,"(127, 0, 255)",110,240,"images/pentagons/pentagon_bg-blue_color-(127, 0, 255)_size-110_angle-240.png"
heptagon,black,"(0, 127, 127)",110,20,"images/heptagons/heptagon_bg-black_color-(0, 127, 127)_size-110_angle-20.png"
heptagon,black,"(255, 0, 0)",175,160,"images/heptagons/heptagon_bg-black_color-(255, 0, 0)_size-175_angle-160.png"
heptagon,white,"(127, 127, 255)",150,340,"images/heptagons/heptagon_bg-white_color-(127, 127, 255)_size-150_angle-340.png"
triangle,red,"(0, 127, 127)",130,20,"images/triangles/triangle_bg-red_color-(0, 127, 127)_size-130_angle-20.png"
triangle,black,"(255, 0, 0)",110,70,"images/triangles/triangle_bg-black_color-(255, 0, 0)_size-110_angle-70.png"
pentagon,blue,"(255, 0, 127)",160,280,"images/pentagons/pentagon_bg-blue_color-(255, 0, 127)_size-160_angle-280.png"
square,blue,"(255, 0, 127)",100,30,"images/squares/square_bg-blue_color-(255, 0, 127)_size-100_angle-30.png"
pentagon,red,"(127, 127, 0)",120,130,"images/pentagons/pentagon_bg-red_color-(127, 127, 0)_size-120_angle-130.png"
hexagon,black,"(0, 255, 255)",140,30,"images/hexagons/hexagon_bg-black_color-(0, 255, 255)_size-140_angle-30.png"
pentagon,red,"(127, 127, 255)",150,160,"images/pentagons/pentagon_bg-red_color-(127, 127, 255)_size-150_angle-160.png"
heptagon,black,"(127, 127, 0)",110,230,"images/heptagons/heptagon_bg-black_color-(127, 127, 0)_size-110_angle-230.png"
heptagon,black,"(0, 127, 127)",150,110,"images/heptagons/heptagon_bg-black_color-(0, 127, 127)_size-150_angle-110.png"
octagon,red,"(0, 127, 0)",100,50,"images/octagons/octagon_bg-red_color-(0, 127, 0)_size-100_angle-50.png"
square,red,"(127, 255, 127)",140,50,"images/squares/square_bg-red_color-(127, 255, 127)_size-140_angle-50.png"
pentagon,black,"(0, 255, 255)",175,160,"images/pentagons/pentagon_bg-black_color-(0, 255, 255)_size-175_angle-160.png"
pentagon,red,"(0, 255, 255)",130,250,"images/pentagons/pentagon_bg-red_color-(0, 255, 255)_size-130_angle-250.png"
heptagon,white,"(0, 255, 127)",200,60,"images/heptagons/heptagon_bg-white_color-(0, 255, 127)_size-200_angle-60.png"
heptagon,red,"(127, 255, 0)",110,40,"images/heptagons/heptagon_bg-red_color-(127, 255, 0)_size-110_angle-40.png"
pentagon,white,"(0, 255, 127)",100,210,"images/pentagons/pentagon_bg-white_color-(0, 255, 127)_size-100_angle-210.png"
heptagon,black,"(127, 0, 127)",160,170,"images/heptagons/heptagon_bg-black_color-(127, 0, 127)_size-160_angle-170.png"
heptagon,red,"(255, 0, 255)",110,240,"images/heptagons/heptagon_bg-red_color-(255, 0, 255)_size-110_angle-240.png"
heptagon,red,"(0, 127, 255)",100,320,"images/heptagons/heptagon_bg-red_color-(0, 127, 255)_size-100_angle-320.png"
pentagon,blue,"(127, 255, 0)",100,290,"images/pentagons/pentagon_bg-blue_color-(127, 255, 0)_size-100_angle-290.png"
heptagon,red,"(0, 127, 127)",130,40,"images/heptagons/heptagon_bg-red_color-(0, 127, 127)_size-130_angle-40.png"
pentagon,blue,"(127, 127, 255)",150,100,"images/pentagons/pentagon_bg-blue_color-(127, 127, 255)_size-150_angle-100.png"
hexagon,white,"(0, 127, 127)",200,50,"images/hexagons/hexagon_bg-white_color-(0, 127, 127)_size-200_angle-50.png"
heptagon,blue,"(127, 127, 0)",140,50,"images/heptagons/heptagon_bg-blue_color-(127, 127, 0)_size-140_angle-50.png"
triangle,white,"(0, 0, 255)",150,10,"images/triangles/triangle_bg-white_color-(0, 0, 255)_size-150_angle-10.png"
pentagon,red,"(127, 0, 255)",130,30,"images/pentagons/pentagon_bg-red_color-(127, 0, 255)_size-130_angle-30.png"
square,black,"(127, 0, 255)",120,20,"images/squares/square_bg-black_color-(127, 0, 255)_size-120_angle-20.png"
triangle,red,"(0, 127, 127)",175,10,"images/triangles/triangle_bg-red_color-(0, 127, 127)_size-175_angle-10.png"
triangle,blue,"(127, 127, 0)",150,90,"images/triangles/triangle_bg-blue_color-(127, 127, 0)_size-150_angle-90.png"
pentagon,red,"(0, 255, 255)",160,320,"images/pentagons/pentagon_bg-red_color-(0, 255, 255)_size-160_angle-320.png"
pentagon,white,"(0, 127, 255)",150,240,"images/pentagons/pentagon_bg-white_color-(0, 127, 255)_size-150_angle-240.png"
pentagon,black,"(255, 0, 0)",100,150,"images/pentagons/pentagon_bg-black_color-(255, 0, 0)_size-100_angle-150.png"
heptagon,red,"(127, 127, 255)",160,320,"images/heptagons/heptagon_bg-red_color-(127, 127, 255)_size-160_angle-320.png"
pentagon,red,"(127, 127, 0)",130,300,"images/pentagons/pentagon_bg-red_color-(127, 127, 0)_size-130_angle-300.png"
pentagon,white,"(255, 127, 0)",120,280,"images/pentagons/pentagon_bg-white_color-(255, 127, 0)_size-120_angle-280.png"
octagon,black,"(255, 0, 0)",150,20,"images/octagons/octagon_bg-black_color-(255, 0, 0)_size-150_angle-20.png"
square,blue,"(127, 0, 127)",110,20,"images/squares/square_bg-blue_color-(127, 0, 127)_size-110_angle-20.png"
heptagon,blue,"(127, 127, 0)",140,290,"images/heptagons/heptagon_bg-blue_color-(127, 127, 0)_size-140_angle-290.png"
heptagon,red,"(127, 255, 127)",150,30,"images/heptagons/heptagon_bg-red_color-(127, 255, 127)_size-150_angle-30.png"
pentagon,red,"(255, 0, 127)",140,70,"images/pentagons/pentagon_bg-red_color-(255, 0, 127)_size-140_angle-70.png"
heptagon,blue,"(255, 0, 0)",110,200,"images/heptagons/heptagon_bg-blue_color-(255, 0, 0)_size-110_angle-200.png"
pentagon,white,"(0, 255, 127)",110,50,"images/pentagons/pentagon_bg-white_color-(0, 255, 127)_size-110_angle-50.png"
heptagon,white,"(0, 255, 255)",110,160,"images/heptagons/heptagon_bg-white_color-(0, 255, 255)_size-110_angle-160.png"
hexagon,red,"(0, 255, 0)",100,40,"images/hexagons/hexagon_bg-red_color-(0, 255, 0)_size-100_angle-40.png"
pentagon,red,"(255, 255, 0)",110,20,"images/pentagons/pentagon_bg-red_color-(255, 255, 0)_size-110_angle-20.png"
pentagon,black,"(255, 127, 0)",200,260,"images/pentagons/pentagon_bg-black_color-(255, 127, 0)_size-200_angle-260.png"
square,blue,"(0, 127, 0)",140,50,"images/squares/square_bg-blue_color-(0, 127, 0)_size-140_angle-50.png"
hexagon,blue,"(127, 0, 255)",140,20,"images/hexagons/hexagon_bg-blue_color-(127, 0, 255)_size-140_angle-20.png"
heptagon,white,"(0, 255, 127)",120,130,"images/heptagons/heptagon_bg-white_color-(0, 255, 127)_size-120_angle-130.png"
heptagon,black,"(255, 255, 0)",200,110,"images/heptagons/heptagon_bg-black_color-(255, 255, 0)_size-200_angle-110.png"
triangle,red,"(255, 0, 255)",160,40,"images/triangles/triangle_bg-red_color-(255, 0, 255)_size-160_angle-40.png"
pentagon,blue,"(127, 127, 0)",150,10,"images/pentagons/pentagon_bg-blue_color-(127, 127, 0)_size-150_angle-10.png"
heptagon,red,"(0, 255, 127)",140,260,"images/heptagons/heptagon_bg-red_color-(0, 255, 127)_size-140_angle-260.png"
heptagon,white,"(0, 255, 127)",110,210,"images/heptagons/heptagon_bg-white_color-(0, 255, 127)_size-110_angle-210.png"
pentagon,blue,"(127, 0, 127)",160,140,"images/pentagons/pentagon_bg-blue_color-(127, 0, 127)_size-160_angle-140.png"
triangle,blue,"(127, 127, 255)",110,50,"images/triangles/triangle_bg-blue_color-(127, 127, 255)_size-110_angle-50.png"
heptagon,white,"(0, 127, 0)",100,230,"images/heptagons/heptagon_bg-white_color-(0, 127, 0)_size-100_angle-230.png"
triangle,red,"(255, 127, 0)",200,100,"images/triangles/triangle_bg-red_color-(255, 127, 0)_size-200_angle-100.png"
heptagon,red,"(255, 0, 127)",140,310,"images/heptagons/heptagon_bg-red_color-(255, 0, 127)_size-140_angle-310.png"
pentagon,white,"(0, 255, 0)",160,60,"images/pentagons/pentagon_bg-white_color-(0, 255, 0)_size-160_angle-60.png"
pentagon,blue,"(127, 0, 127)",110,250,"images/pentagons/pentagon_bg-blue_color-(127, 0, 127)_size-110_angle-250.png"
pentagon,black,"(127, 0, 127)",120,50,"images/pentagons/pentagon_bg-black_color-(127, 0, 127)_size-120_angle-50.png"
heptagon,white,"(127, 127, 255)",130,350,"images/heptagons/heptagon_bg-white_color-(127, 127, 255)_size-130_angle-350.png"
hexagon,blue,"(127, 127, 255)",110,20,"images/hexagons/hexagon_bg-blue_color-(127, 127, 255)_size-110_angle-20.png"
pentagon,white,"(0, 255, 127)",200,190,"images/pentagons/pentagon_bg-white_color-(0, 255, 127)_size-200_angle-190.png"
pentagon,white,"(255, 0, 127)",140,220,"images/pentagons/pentagon_bg-white_color-(255, 0, 127)_size-140_angle-220.png"
triangle,red,"(127, 127, 255)",130,90,"images/triangles/triangle_bg-red_color-(127, 127, 255)_size-130_angle-90.png"
triangle,blue,"(255, 0, 127)",150,40,"images/triangles/triangle_bg-blue_color-(255, 0, 127)_size-150_angle-40.png"
octagon,black,"(0, 127, 0)",175,80,"images/octagons/octagon_bg-black_color-(0, 127, 0)_size-175_angle-80.png"
octagon,red,"(255, 255, 0)",175,10,"images/octagons/octagon_bg-red_color-(255, 255, 0)_size-175_angle-10.png"
octagon,white,"(0, 255, 127)",175,30,"images/octagons/octagon_bg-white_color-(0, 255, 127)_size-175_angle-30.png"
triangle,black,"(0, 127, 0)",150,40,"images/triangles/triangle_bg-black_color-(0, 127, 0)_size-150_angle-40.png"
pentagon,blue,"(127, 127, 0)",130,90,"images/pentagons/pentagon_bg-blue_color-(127, 127, 0)_size-130_angle-90.png"
heptagon,blue,"(0, 127, 127)",100,190,"images/heptagons/heptagon_bg-blue_color-(0, 127, 127)_size-100_angle-190.png"
pentagon,red,"(127, 0, 127)",200,250,"images/pentagons/pentagon_bg-red_color-(127, 0, 127)_size-200_angle-250.png"
pentagon,red,"(255, 0, 127)",110,150,"images/pentagons/pentagon_bg-red_color-(255, 0, 127)_size-110_angle-150.png"
pentagon,black,"(127, 127, 255)",200,130,"images/pentagons/pentagon_bg-black_color-(127, 127, 255)_size-200_angle-130.png"
pentagon,blue,"(255, 0, 255)",200,120,"images/pentagons/pentagon_bg-blue_color-(255, 0, 255)_size-200_angle-120.png"
pentagon,red,"(255, 127, 0)",140,310,"images/pentagons/pentagon_bg-red_color-(255, 127, 0)_size-140_angle-310.png"
triangle,red,"(127, 127, 255)",100,20,"images/triangles/triangle_bg-red_color-(127, 127, 255)_size-100_angle-20.png"
heptagon,black,"(0, 255, 0)",140,110,"images/heptagons/heptagon_bg-black_color-(0, 255, 0)_size-140_angle-110.png"
pentagon,black,"(0, 255, 0)",120,30,"images/pentagons/pentagon_bg-black_color-(0, 255, 0)_size-120_angle-30.png"
octagon,white,"(127, 0, 255)",150,20,"images/octagons/octagon_bg-white_color-(127, 0, 255)_size-150_angle-20.png"
pentagon,black,"(0, 255, 0)",175,30,"images/pentagons/pentagon_bg-black_color-(0, 255, 0)_size-175_angle-30.png"
heptagon,black,"(0, 0, 255)",140,60,"images/heptagons/heptagon_bg-black_color-(0, 0, 255)_size-140_angle-60.png"
pentagon,white,"(0, 127, 0)",120,200,"images/pentagons/pentagon_bg-white_color-(0, 127, 0)_size-120_angle-200.png"
pentagon,blue,"(255, 0, 0)",130,200,"images/pentagons/pentagon_bg-blue_color-(255, 0, 0)_size-130_angle-200.png"
pentagon,black,"(127, 255, 0)",120,210,"images/pentagons/pentagon_bg-black_color-(127, 255, 0)_size-120_angle-210.png"
pentagon,blue,"(0, 255, 0)",110,160,"images/pentagons/pentagon_bg-blue_color-(0, 255, 0)_size-110_angle-160.png"
triangle,black,"(0, 127, 0)",200,110,"images/triangles/triangle_bg-black_color-(0, 127, 0)_size-200_angle-110.png"
heptagon,black,"(0, 127, 255)",160,50,"images/heptagons/heptagon_bg-black_color-(0, 127, 255)_size-160_angle-50.png"
heptagon,red,"(127, 0, 127)",150,60,"images/heptagons/heptagon_bg-red_color-(127, 0, 127)_size-150_angle-60.png"
pentagon,red,"(127, 255, 127)",160,320,"images/pentagons/pentagon_bg-red_color-(127, 255, 127)_size-160_angle-320.png"
heptagon,red,"(127, 127, 0)",175,310,"images/heptagons/heptagon_bg-red_color-(127, 127, 0)_size-175_angle-310.png"
octagon,blue,"(255, 255, 0)",120,50,"images/octagons/octagon_bg-blue_color-(255, 255, 0)_size-120_angle-50.png"
octagon,white,"(0, 127, 0)",120,10,"images/octagons/octagon_bg-white_color-(0, 127, 0)_size-120_angle-10.png"
pentagon,blue,"(255, 0, 0)",130,240,"images/pentagons/pentagon_bg-blue_color-(255, 0, 0)_size-130_angle-240.png"
heptagon,blue,"(255, 0, 127)",150,90,"images/heptagons/heptagon_bg-blue_color-(255, 0, 127)_size-150_angle-90.png"
pentagon,black,"(0, 255, 0)",100,250,"images/pentagons/pentagon_bg-black_color-(0, 255, 0)_size-100_angle-250.png"
heptagon,blue,"(0, 255, 127)",150,140,"images/heptagons/heptagon_bg-blue_color-(0, 255, 127)_size-150_angle-140.png"
hexagon,white,"(127, 0, 127)",110,40,"images/hexagons/hexagon_bg-white_color-(127, 0, 127)_size-110_angle-40.png"
triangle,blue,"(127, 255, 127)",100,110,"images/triangles/triangle_bg-blue_color-(127, 255, 127)_size-100_angle-110.png"
square,blue,"(127, 255, 0)",150,10,"images/squares/square_bg-blue_color-(127, 255, 0)_size-150_angle-10.png"
heptagon,blue,"(0, 255, 0)",130,220,"images/heptagons/heptagon_bg-blue_color-(0, 255, 0)_size-130_angle-220.png"
heptagon,white,"(127, 255, 0)",100,200,"images/heptagons/heptagon_bg-white_color-(127, 255, 0)_size-100_angle-200.png"
square,white,"(0, 127, 255)",200,30,"images/squares/square_bg-white_color-(0, 127, 255)_size-200_angle-30.png"
heptagon,black,"(127, 255, 0)",150,30,"images/heptagons/heptagon_bg-black_color-(127, 255, 0)_size-150_angle-30.png"
octagon,red,"(127, 255, 127)",110,70,"images/octagons/octagon_bg-red_color-(127, 255, 127)_size-110_angle-70.png"
octagon,black,"(0, 127, 127)",140,70,"images/octagons/octagon_bg-black_color-(0, 127, 127)_size-140_angle-70.png"
hexagon,red,"(127, 127, 0)",110,30,"images/hexagons/hexagon_bg-red_color-(127, 127, 0)_size-110_angle-30.png"
heptagon,white,"(127, 127, 0)",150,180,"images/heptagons/heptagon_bg-white_color-(127, 127, 0)_size-150_angle-180.png"
pentagon,white,"(0, 127, 255)",160,290,"images/pentagons/pentagon_bg-white_color-(0, 127, 255)_size-160_angle-290.png"
octagon,white,"(0, 255, 255)",200,0,"images/octagons/octagon_bg-white_color-(0, 255, 255)_size-200_angle-0.png"
pentagon,red,"(127, 255, 0)",200,270,"images/pentagons/pentagon_bg-red_color-(127, 255, 0)_size-200_angle-270.png"
heptagon,red,"(0, 0, 255)",130,80,"images/heptagons/heptagon_bg-red_color-(0, 0, 255)_size-130_angle-80.png"
triangle,blue,"(0, 127, 127)",120,70,"images/triangles/triangle_bg-blue_color-(0, 127, 127)_size-120_angle-70.png"
pentagon,white,"(127, 255, 127)",200,120,"images/pentagons/pentagon_bg-white_color-(127, 255, 127)_size-200_angle-120.png"
octagon,white,"(0, 255, 127)",100,40,"images/octagons/octagon_bg-white_color-(0, 255, 127)_size-100_angle-40.png"
pentagon,white,"(127, 0, 127)",140,200,"images/pentagons/pentagon_bg-white_color-(127, 0, 127)_size-140_angle-200.png"
pentagon,black,"(0, 127, 255)",120,240,"images/pentagons/pentagon_bg-black_color-(0, 127, 255)_size-120_angle-240.png"
octagon,black,"(0, 127, 127)",120,60,"images/octagons/octagon_bg-black_color-(0, 127, 127)_size-120_angle-60.png"
octagon,black,"(0, 255, 0)",120,30,"images/octagons/octagon_bg-black_color-(0, 255, 0)_size-120_angle-30.png"
triangle,blue,"(0, 127, 0)",110,80,"images/triangles/triangle_bg-blue_color-(0, 127, 0)_size-110_angle-80.png"
pentagon,white,"(127, 0, 127)",160,200,"images/pentagons/pentagon_bg-white_color-(127, 0, 127)_size-160_angle-200.png"
triangle,black,"(127, 127, 255)",110,40,"images/triangles/triangle_bg-black_color-(127, 127, 255)_size-110_angle-40.png"
heptagon,red,"(0, 127, 0)",110,200,"images/heptagons/heptagon_bg-red_color-(0, 127, 0)_size-110_angle-200.png"
