path,shape_type,background_color,shape_color,num_sides
images/irregular_poly/shape_94_sides_6.png,,white,"(127, 127, 255)",6
images/irregular_poly/shape_95_sides_6.png,,blue,"(127, 127, 255)",6
images/irregular_poly/shape_96_sides_5.png,,black,"(255, 0, 0)",5
images/irregular_poly/shape_97_sides_1.png,,black,"(127, 255, 0)",1
images/irregular_poly/shape_98_sides_5.png,,black,"(127, 0, 255)",5
images/irregular_poly/shape_99_sides_6.png,,white,"(127, 0, 255)",6
images/irregular_poly/shape_100_sides_5.png,,white,"(0, 127, 127)",5
images/irregular_poly/shape_101_sides_5.png,,red,"(0, 255, 127)",5
images/irregular_poly/shape_102_sides_4.png,,black,"(0, 127, 0)",4
images/irregular_poly/shape_103_sides_5.png,,white,"(127, 0, 255)",5
images/irregular_poly/shape_104_sides_5.png,,red,"(255, 0, 127)",5
images/irregular_poly/shape_105_sides_7.png,,white,"(255, 0, 0)",7
images/irregular_poly/shape_106_sides_8.png,,red,"(127, 255, 127)",8
images/irregular_poly/shape_107_sides_6.png,,white,"(0, 127, 0)",6
images/irregular_poly/shape_108_sides_5.png,,red,"(0, 0, 255)",5
images/irregular_poly/shape_109_sides_1.png,,white,"(255, 127, 0)",1
images/irregular_poly/shape_110_sides_6.png,,blue,"(127, 0, 255)",6
images/irregular_poly/shape_111_sides_5.png,,black,"(127, 127, 255)",5
images/irregular_poly/shape_112_sides_5.png,,blue,"(127, 127, 0)",5
images/irregular_poly/shape_113_sides_5.png,,white,"(255, 127, 0)",5
images/irregular_poly/shape_114_sides_1.png,,red,"(127, 0, 255)",1
images/irregular_poly/shape_115_sides_1.png,,white,"(127, 127, 255)",1
images/irregular_poly/shape_116_sides_6.png,,black,"(255, 255, 0)",6
images/irregular_poly/shape_117_sides_5.png,,black,"(255, 255, 0)",5
images/irregular_poly/shape_118_sides_5.png,,white,"(255, 0, 255)",5
images/irregular_poly/shape_119_sides_4.png,,blue,"(127, 255, 127)",4
images/irregular_poly/shape_120_sides_6.png,,red,"(0, 0, 255)",6
images/irregular_poly/shape_121_sides_5.png,,red,"(127, 127, 0)",5
images/irregular_poly/shape_122_sides_4.png,,blue,"(0, 255, 127)",4
images/irregular_poly/shape_123_sides_5.png,,black,"(0, 127, 0)",5
images/irregular_poly/shape_124_sides_5.png,,blue,"(255, 127, 0)",5
images/irregular_poly/shape_125_sides_6.png,,black,"(0, 255, 127)",6
images/irregular_poly/shape_126_sides_5.png,,red,"(127, 127, 0)",5
images/irregular_poly/shape_127_sides_5.png,,blue,"(255, 127, 0)",5
images/irregular_poly/shape_128_sides_5.png,,red,"(0, 255, 255)",5
images/irregular_poly/shape_129_sides_8.png,,blue,"(255, 255, 0)",8
images/irregular_poly/shape_130_sides_5.png,,white,"(255, 127, 0)",5
images/irregular_poly/shape_131_sides_5.png,,white,"(127, 127, 255)",5
images/irregular_poly/shape_132_sides_5.png,,blue,"(0, 255, 255)",5
images/irregular_poly/shape_133_sides_5.png,,black,"(0, 127, 0)",5
images/irregular_poly/shape_134_sides_6.png,,red,"(127, 255, 0)",6
images/irregular_poly/shape_135_sides_1.png,,white,"(0, 127, 127)",1
images/irregular_poly/shape_136_sides_4.png,,white,"(255, 255, 0)",4
images/irregular_poly/shape_137_sides_5.png,,white,"(255, 255, 0)",5
images/irregular_poly/shape_138_sides_4.png,,black,"(127, 0, 255)",4
images/irregular_poly/shape_139_sides_6.png,,red,"(0, 0, 255)",6
images/irregular_poly/shape_140_sides_5.png,,blue,"(127, 127, 0)",5
images/irregular_poly/shape_141_sides_5.png,,blue,"(255, 255, 0)",5
images/irregular_poly/shape_142_sides_5.png,,white,"(127, 0, 255)",5
images/irregular_poly/shape_143_sides_5.png,,white,"(0, 255, 127)",5
images/irregular_poly/shape_144_sides_4.png,,white,"(127, 255, 127)",4
images/irregular_poly/shape_145_sides_7.png,,white,"(0, 127, 127)",7
images/irregular_poly/shape_146_sides_5.png,,red,"(0, 255, 0)",5
images/irregular_poly/shape_147_sides_6.png,,black,"(0, 255, 127)",6
images/irregular_poly/shape_148_sides_6.png,,blue,"(255, 255, 0)",6
images/irregular_poly/shape_149_sides_3.png,,white,"(0, 127, 255)",3
images/irregular_poly/shape_150_sides_6.png,,black,"(127, 0, 255)",6
images/irregular_poly/shape_151_sides_7.png,,red,"(255, 0, 127)",7
images/irregular_poly/shape_152_sides_4.png,,white,"(0, 255, 255)",4
images/irregular_poly/shape_153_sides_5.png,,blue,"(0, 127, 127)",5
images/irregular_poly/shape_154_sides_5.png,,red,"(0, 255, 0)",5
images/irregular_poly/shape_155_sides_6.png,,white,"(0, 127, 255)",6
images/irregular_poly/shape_156_sides_7.png,,black,"(0, 127, 0)",7
images/irregular_poly/shape_157_sides_7.png,,blue,"(127, 255, 127)",7
images/irregular_poly/shape_158_sides_5.png,,white,"(127, 127, 255)",5
images/irregular_poly/shape_159_sides_7.png,,white,"(0, 0, 255)",7
images/irregular_poly/shape_160_sides_7.png,,black,"(127, 255, 0)",7
images/irregular_poly/shape_161_sides_5.png,,red,"(255, 0, 127)",5
images/irregular_poly/shape_162_sides_7.png,,red,"(0, 127, 255)",7
images/irregular_poly/shape_163_sides_5.png,,white,"(255, 0, 0)",5
images/irregular_poly/shape_164_sides_6.png,,black,"(127, 0, 255)",6
images/irregular_poly/shape_165_sides_5.png,,black,"(0, 127, 0)",5
images/irregular_poly/shape_166_sides_6.png,,red,"(255, 127, 0)",6
images/irregular_poly/shape_167_sides_5.png,,white,"(127, 0, 255)",5
images/irregular_poly/shape_168_sides_5.png,,white,"(255, 0, 0)",5
images/irregular_poly/shape_169_sides_4.png,,black,"(127, 255, 0)",4
images/irregular_poly/shape_170_sides_4.png,,blue,"(0, 255, 255)",4
images/irregular_poly/shape_171_sides_4.png,,blue,"(0, 255, 127)",4
images/irregular_poly/shape_172_sides_4.png,,black,"(127, 0, 127)",4
images/irregular_poly/shape_173_sides_6.png,,white,"(0, 127, 255)",6
images/irregular_poly/shape_174_sides_5.png,,black,"(0, 255, 255)",5
images/irregular_poly/shape_175_sides_5.png,,white,"(127, 255, 0)",5
images/irregular_poly/shape_176_sides_7.png,,white,"(0, 0, 255)",7
images/irregular_poly/shape_177_sides_7.png,,white,"(0, 127, 255)",7
images/irregular_poly/shape_178_sides_5.png,,white,"(0, 127, 255)",5
images/irregular_poly/shape_179_sides_5.png,,red,"(255, 255, 0)",5
images/irregular_poly/shape_180_sides_5.png,,blue,"(127, 0, 127)",5
images/irregular_poly/shape_181_sides_4.png,,red,"(0, 127, 0)",4
images/irregular_poly/shape_182_sides_5.png,,white,"(0, 127, 255)",5
images/irregular_poly/shape_183_sides_5.png,,blue,"(0, 255, 255)",5
images/irregular_poly/shape_184_sides_5.png,,blue,"(255, 255, 0)",5
images/irregular_poly/shape_185_sides_5.png,,blue,"(255, 0, 127)",5
images/irregular_poly/shape_186_sides_7.png,,white,"(127, 0, 127)",7
images/irregular_poly/shape_187_sides_5.png,,blue,"(127, 127, 255)",5
images/irregular_poly/shape_188_sides_7.png,,black,"(0, 255, 0)",7
images/irregular_poly/shape_189_sides_4.png,,blue,"(127, 255, 0)",4
images/irregular_poly/shape_190_sides_4.png,,black,"(127, 127, 0)",4
images/irregular_poly/shape_191_sides_4.png,,white,"(255, 0, 127)",4
images/irregular_poly/shape_192_sides_4.png,,red,"(0, 255, 127)",4
images/irregular_poly/shape_193_sides_1.png,,red,"(127, 255, 0)",1
images/irregular_poly/shape_194_sides_5.png,,red,"(0, 127, 127)",5
images/irregular_poly/shape_195_sides_6.png,,red,"(127, 127, 255)",6
images/irregular_poly/shape_196_sides_5.png,,white,"(0, 127, 127)",5
images/irregular_poly/shape_197_sides_4.png,,red,"(255, 0, 127)",4
images/irregular_poly/shape_198_sides_4.png,,red,"(0, 127, 0)",4
images/irregular_poly/shape_199_sides_4.png,,red,"(127, 255, 127)",4
images/combined_shapes/Triangle-Square_0.png,Triangle-Square,blue,"(255, 0, 127)",5
images/combined_shapes/Triangle-Square_1.png,Triangle-Square,red,"(127, 255, 127)",5
images/combined_shapes/Triangle-Square_2.png,Triangle-Square,black,"(127, 0, 255)",5
images/combined_shapes/Triangle-Square_3.png,Triangle-Square,red,"(127, 0, 255)",5
images/combined_shapes/Triangle-Square_4.png,Triangle-Square,white,"(0, 127, 127)",5
images/combined_shapes/Triangle-Square_5.png,Triangle-Square,blue,"(127, 0, 255)",5
images/combined_shapes/Triangle-Square_6.png,Triangle-Square,white,"(127, 0, 255)",5
images/combined_shapes/Triangle-Square_7.png,Triangle-Square,black,"(255, 255, 0)",5
images/combined_shapes/Triangle-Square_8.png,Triangle-Square,white,"(0, 127, 127)",5
images/combined_shapes/Triangle-Square_9.png,Triangle-Square,white,"(255, 0, 255)",5
images/combined_shapes/Pentagon-Square_0.png,Pentagon-Square,blue,"(0, 127, 0)",7
images/combined_shapes/Pentagon-Square_1.png,Pentagon-Square,white,"(0, 127, 127)",7
images/combined_shapes/Pentagon-Square_2.png,Pentagon-Square,white,"(127, 127, 255)",7
images/combined_shapes/Pentagon-Square_3.png,Pentagon-Square,white,"(0, 0, 255)",7
images/combined_shapes/Pentagon-Square_4.png,Pentagon-Square,white,"(255, 0, 255)",7
images/combined_shapes/Pentagon-Square_5.png,Pentagon-Square,white,"(255, 255, 0)",7
images/combined_shapes/Pentagon-Square_6.png,Pentagon-Square,blue,"(127, 255, 0)",7
images/combined_shapes/Pentagon-Square_7.png,Pentagon-Square,black,"(0, 255, 0)",7
images/combined_shapes/Pentagon-Square_8.png,Pentagon-Square,white,"(255, 127, 0)",7
images/combined_shapes/Pentagon-Square_9.png,Pentagon-Square,red,"(0, 255, 255)",7
images/combined_shapes/Pentagon-Triangle_0.png,Pentagon-Triangle,black,"(127, 0, 127)",6
images/combined_shapes/Pentagon-Triangle_1.png,Pentagon-Triangle,black,"(127, 127, 255)",6
images/combined_shapes/Pentagon-Triangle_2.png,Pentagon-Triangle,white,"(0, 0, 255)",6
